MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage
NP_000627	SOD2	0	P04179	SODM	1	1	1
NP_000628	GSR	0	P00390	GSHR	1	1	1
NP_000654	ABAT	0	P80404	GABT	1	1	1
NP_000679	ALAS1	0	P13196	HEM1	1	1	1
NP_000681	ALDH2	1	P05091	ALDH2	1	1	1
NP_000683	ALDH1B1	0	P30837	AL1B1	1	1	1
NP_000700	BCKDHA	0	P12694	ODBA	1	1	1
NP_000705	TSPO	1	P30536	TSPO	1	1	1
NP_000745	COMT	1	P21964	COMT	1	1	1
NP_000772	CYP11A1	0	P05108	CP11A	1	1	1
NP_000773	CYP24A1	0	Q07973	CP24A	1	1	1
NP_000775	CYP27A1	0	Q02318	CP27A	1	1	1
NP_000776	CYP27B1	0	O15528	CP27B	1	1	1
NP_000849	GUK1	0	Q16774	KGUA	1	1	1
NP_000889	MAOB	0	P27338	AOFB	1	1	1
NP_000911	PC	0	P11498	PYC	1	1	1
NP_000916	PDHB	0	P11177	ODPB	1	1	1
NP_001001503	NDUFV3	0	P56181	NDUV3	1	1	1
NP_001001660	ETFRF1	0	Q6IPR1	ETFR1	1	1	1
NP_001001790	TOMM5	0	Q8N4H5	TOM5	1	1	1
NP_001001795	C8orf82	0	Q6P1X6	CH082	1	1	1
NP_001001935	ATP5F1A	0	P25705	ATPA	1	1	1
NP_001001973	ATP5F1C	0	P36542	ATPG	1	1	1
NP_001001975	ATP5F1D	0	P30049	ATPD	1	1	1
NP_001002019	PUS1	0	Q9Y606	TRUA	1	1	1
NP_001002027	ATP5MC1	0	P05496	AT5G1	1	1	1
NP_001002030	ECHDC1	0	Q9NTX5	ECHD1	1	1	1
NP_001002258	ATP5MC3	0	P48201	AT5G3	1	1	1
NP_001002755	NFU1	1	Q9UMS0	NFU1	1	1	1
NP_001002913	PTRH1	0	Q86Y79	PTH	1	1	1
NP_001003696	ATP5PF	0	P18859	ATP5J	1	1	1
NP_001003713	ATP5MF	0	P56134	ATPK	0.936170212765957	1	1
NP_001003785	ATP5PD	0	O75947	ATP5H	0.850931677018634	1	1
NP_001003803	DMAC2L	0	Q99766	ATP5S	1	1	1
NP_001005353	AK4	0	P27144	KAD4	1	1	1
NP_001005369	MTIF2	0	P46199	IF2M	1	1	1
NP_001005783	HAO2	0	Q9NYQ3	HAOX2	1	1	1
NP_001007100	SCP2	1	P22307	SCP2	1	1	1
NP_001008216	COA5	1	Q86WW8	COA5	1	1	1
NP_001008661	KYAT3	0	Q6YP21	KAT3	1	1	1
NP_001009584	ARMCX6	0	Q7L4S7	ARMX6	1	1	1
NP_001009814	VWA8	1	A3KMH1	VWA8	1	1	1
NP_001010867	IBA57	0	Q5T440	CAF17	1	1	1
NP_001010875	SLC25A30	0	Q5SVS4	KMCP1	1	1	1
NP_001011671	CHCHD7	0	Q9BUK0	CHCH7	1	1	1
NP_001011700	MCCD1	1	P59942	MCCD1	1	1	1
NP_001012773	SLC25A53	0	Q5H9E4	S2553	1	1	1
NP_001013003	COA6	1	Q5JTJ3	COA6	1	1	1
NP_001013454	MPST	0	P25325	THTM	1	1	1
NP_001014446	OCIAD2	0	Q56VL3	OCAD2	1	1	1
NP_001014811	ME3	0	Q16798	MAON	1	1	1
NP_001014990	MRPL22	0	Q9NWU5	RM22	1	1	1
NP_001015001	CKMT1A	0	P12532	KCRU	1	1	1
NP_001017423	ALDH18A1	0	P54886	P5CS	0.99748427672956	1	1
NP_001017524	SIRT3	0	Q9NTG7	SIR3	1	1	1
NP_001017928	CCDC58	0	Q4VC31	MIX23	1	1	1
NP_001018024	CMC4	1	P56277	CMC4	1	1	1
NP_001018070	AIFM3	1	Q96NN9	AIFM3	0.988429752066116	1	1
NP_001018088	FPGS	0	Q05932	FOLC	1	1	1
NP_001020419	DUT	1	P33316	DUT	1	1	1
NP_001026788	COX19	1	Q49B96	COX19	1	1	1
NP_001026847	RAB24	1	Q969Q5	RAB24	1	1	1
NP_001026871	NT5DC3	0	Q86UY8	NT5D3	1	1	1
NP_001026883	MCUR1	1	Q96AQ8	MCUR1	1	1	1
NP_001026904	FDX2	1	Q6P4F2	FDX2	1	1	1
NP_001027535	MICOS10	0	Q5TGZ0	MIC10	1	1	1
NP_001028222	MTERF2	0	Q49AM1	MTEF2	1	1	1
NP_001028260	NGRN	1	Q9NPE2	NGRN	1	1	1
NP_001028738	RHOT1	0	Q8IXI2	MIRO1	0.937784522003035	1	1
NP_001028755	ACOT9	1	Q9Y305	ACOT9	1	1	1
NP_001029345	ALDH1L2	0	Q3SY69	AL1L2	1	1	1
NP_001030589	SDHC	0	Q99643	C560	0.798816568047337	1	1
NP_001032626	PHYH	0	O14832	PAHX	1	1	1
NP_001032900	HSD17B10	0	Q99714	HCD2	0.96551724137931	1	1
NP_001034444	SLC25A29	0	Q8N8R3	MCATL	1	1	1
NP_001034672	PICK1	1	Q9NRD5	PICK1	1	1	1
NP_001034931	OXLD1	1	Q5BKU9	OXLD1	1	1	1
NP_001035282	DNAJC28	0	Q9NX36	DJC28	1	1	1
NP_001035517	HAGH	0	Q16775	GLO2	1	1	1
NP_001035521	COA3	1	Q9Y2R0	COA3	1	1	1
NP_001035526	YARS2	0	Q9Y2Z4	SYYM	1	1	1
NP_001035808	GDAP1	1	Q8TB36	GDAP1	1	1	1
NP_001035958	SMIM8	1	Q96KF7	SMIM8	1	1	1
NP_001035994	COASY	1	Q13057	COASY	1	1	1
NP_001036694	CSKMT	1	A8MUP2	CSKMT	1	1	1
NP_001041636	MUTYH	1	Q9UIF7	MUTYH	0.97985347985348	1	1
NP_001070148	LYRM9	1	A8MSI8	LYRM9	1	1	1
NP_001070709	SLC25A45	0	Q8N413	S2545	1	1	1
NP_001071	ALDH5A1	0	P51649	SSDH	1	1	1
NP_001072992	PAICS	0	P22234	PUR6	1	1	1
NP_001073308	OCIAD1	0	Q9NX40	OCAD1	1	1	1
NP_001073331	DBI	0	P07108	ACBP	1	1	1
NP_001073335	BCS1L	0	Q9Y276	BCS1	1	1	1
NP_001073593	CASP8	1	Q14790	CASP8	0.968684759916493	1	1
NP_001073918	DNA2	1	P51530	DNA2	1	1	1
NP_001073923	ACSM4	1	P0C7M7	ACSM4	1	1	1
NP_001074318	DNLZ	1	Q5SXM8	DNLZ	1	1	1
NP_001075029	DMPK	1	Q09013	DMPK	0.992050874403816	1	1
NP_001077083	EARS2	0	Q5JPH6	SYEM	1	1	1
NP_001077432	TDRKH	1	Q9Y2W6	TDRKH	1	1	1
NP_001078841	UQCC3	1	Q6UW78	UQCC3	1	1	1
NP_001078880	NADK2	0	Q4G0N4	NAKD2	1	1	1
NP_001079990	NDUFAF8	0	A1L188	NDUF8	1	1	1
NP_001084	ACACB	1	O00763	ACACB	1	1	1
NP_001087	ACLY	1	P53396	ACLY	1	1	1
NP_001087240	TXNRD1	0	Q16881	TRXR1	1	1	1
NP_001089	ACO2	0	Q99798	ACON	1	1	1
NP_001091947	GRSF1	1	Q12849	GRSF1	1	1	1
NP_001091972	CHCHD4	0	Q8N4Q1	MIA40	1	1	1
NP_001091991	HTATIP2	0	Q9BUP3	HTAI2	1	1	1
NP_001092271	FAM210A	0	Q96ND0	F210A	1	1	1
NP_001092756	MTFR2	1	Q6P444	MTFR2	1	1	1
NP_001093095	MTFR1L	0	Q9H019	MFR1L	1	1	1
NP_001093139	HIGD1A	0	Q9Y241	HIG1A	1	1	1
NP_001093205	CKMT2	0	P17540	KCRS	1	1	1
NP_001093639	IMMT	0	Q16891	MIC60	0.99868073878628	1	1
NP_001095132	NRDC	1	O43847	NRDC	1	1	1
NP_001095836	DGLUCY	0	Q7Z3D6	GLUCM	1	1	1
NP_001098117	SLC25A36	0	Q96CQ1	S2536	1	1	1
NP_001098539	ACSM2B	0	Q68CK6	ACS2B	1	1	1
NP_001098668	TMEM177	0	Q53S58	TM177	1	1	1
NP_001099040	NUDT19	0	A8MXV4	NUD19	1	1	1
NP_001103408	C6orf136	0	Q5SQH8	CF136	1	1	1
NP_001106678	TSTD1	1	Q8NFU3	TSTD1	1	1	1
NP_001107000	METTL15	0	A6NJ78	MET15	1	1	1
NP_001116080	HCCS	0	P53701	CCHL	1	1	1
NP_001116106	CPS1	0	P31327	CPSM	1	1	1
NP_001116429	BCKDK	0	O14874	BCKD	1	1	1
NP_001116698	MTO1	1	Q9Y2Z2	MTO1	0.914134742404227	1	1
NP_001116849	PARK7	1	Q99497	PARK7	1	1	1
NP_001119593	SLC25A19	0	Q9HC21	TPC	1	1	1
NP_001119603	POLG	0	P54098	DPOG1	1	1	1
NP_001120686	ACSF3	1	Q4G176	ACSF3	1	1	1
NP_001120691	ACCS	0	Q96QU6	1A1L1	1	1	1
NP_001120701	AURKAIP1	0	Q9NWT8	AKIP	1	1	1
NP_001120712	BBC3	0	Q96PG8	BBC3B	1	1	1
NP_001121132	MFN2	1	O95140	MFN2	1	1	1
NP_001121773	LYRM1	1	O43325	LYRM1	1	1	1
NP_001121895	MPV17L	0	Q2QL34	MP17L	1	1	1
NP_001122098	SPIRE1	0	Q08AE8	SPIR1	1	1	1
NP_001122103	DCAKD	1	Q8WVC6	DCAKD	1	1	1
NP_001122327	GTPBP3	0	Q969Y2	GTPB3	0.957317073170732	1	1
NP_001122388	TOMM40	0	O96008	TOM40	1	1	1
NP_001123514	CRYZ	0	Q08257	QOR	1	1	1
NP_001123552	IFI27	1	P40305	IFI27	1	1	1
NP_001124318	AIFM1	1	O95831	AIFM1	1	1	1
NP_001127965	TOMM6	0	Q96B49	TOM6	1	1	1
NP_001128179	SARDH	1	Q9UL12	SARDH	1	1	1
NP_001129142	MSRA	1	Q9UJ68	MSRA	0.829787234042553	1	1
NP_001129166	VDAC3	1	Q9Y277	VDAC3	0.996478873239437	1	1
NP_001129293	FDPS	0	P14324	FPPS	1	1	1
NP_001129335	ETFBKMT	0	Q8IXQ9	ETKMT	1	1	1
NP_001129470	NDUFB11	0	Q9NX14	NDUBB	1	1	1
NP_001129507	TRMT1	0	Q9NXH9	TRM1	1	1	1
NP_001129511	NIF3L1	0	Q9GZT8	NIF3L	1	1	1
NP_001129522	DHRS1	1	Q96LJ7	DHRS1	1	1	1
NP_001129524	CPT1C	1	Q8TCG5	CPT1C	0.986301369863014	1	1
NP_001129665	FASTKD2	0	Q9NYY8	FAKD2	1	1	1
NP_001129673	ISOC2	1	Q96AB3	ISOC2	1	1	1
NP_001129970	CISD3	1	P0C7P0	CISD3	1	1	1
NP_001130010	ACAD10	0	Q6JQN1	ACD10	0.971559633027523	1	1
NP_001135877	PRELID3A	0	Q96N28	PLD3A	1	1	1
NP_001135938	GPT2	0	Q8TD30	ALAT2	1	1	1
NP_001135940	MTRES1	0	Q9P0P8	MRES1	1	1	1
NP_001136019	RPUSD3	0	Q6P087	RUSD3	0.957264957264957	1	1
NP_001136027	COQ8B	1	Q96D53	COQ8B	0.924632352941177	1	1
NP_001136075	DELE1	1	Q14154	DELE1	1	1	1
NP_001136116	SPHKAP	0	Q2M3C7	SPKAP	1	1	1
NP_001137146	MPC2	1	O95563	MPC2	1	1	1
NP_001137152	GSTK1	1	Q9Y2Q3	GSTK1	0.946902654867257	1	1
NP_001137252	SLC25A39	0	Q9BZJ4	S2539	1	1	1
NP_001137377	C12orf65	0	Q9H3J6	MTRFR	1	1	1
NP_001137407	CROT	0	Q9UKG9	OCTC	0.95625	1	1
NP_001137408	C15orf61	0	A6NNL5	CO061	1	1	1
NP_001137469	OGDHL	1	Q9ULD0	OGDHL	1	1	1
NP_001138299	RPUSD4	0	Q96CM3	RUSD4	0.917771883289125	1	1
NP_001138303	PHB2	1	Q99623	PHB2	1	1	1
NP_001138341	LIPT2	1	A6NK58	LIPT2	1	1	1
NP_001138450	MTHFD2L	0	Q9H903	MTD2L	1	1	1
NP_001138606	CPT1B	1	Q92523	CPT1B	0.955958549222798	1	1
NP_001138888	TMEM205	0	Q6UW68	TM205	1	1	1
NP_001138904	SMIM20	0	Q8N5G0	SIM20	1	1	1
NP_001138936	EXOG	1	Q9Y2C4	EXOG	0.864130434782609	1	1
NP_001139310	MTFR1	1	Q15390	MTFR1	0.900900900900901	1	1
NP_001139443	RDH13	1	Q8NBN7	RDH13	1	1	1
NP_001142	SLC25A4	0	P12235	ADT1	1	1	1
NP_001143	SLC25A5	0	P05141	ADT2	1	1	1
NP_001152	NUDT2	0	P50583	AP4A	1	1	1
NP_001152980	IVD	1	P26440	IVD	0.929577464788732	1	1
NP_001153682	SLC25A13	0	Q9UJS0	CMC2	0.998520710059172	1	1
NP_001154481	ARMC10	0	Q8N2F6	ARM10	0.897959183673469	1	1
NP_001154976	ALDH4A1	0	P30038	AL4A1	1	1	1
NP_001155253	PDP1	1	Q9P0J1	PDP1	1	1	1
NP_001157207	MYO19	1	Q96H55	MYO19	1	1	1
NP_001157285	TWNK	0	Q96RR1	PEO1	1	1	1
NP_001157951	C5orf63	0	A6NC05	YD286	1	1	1
NP_001158268	SLC25A26	0	Q70HW3	SAMC	1	1	1
NP_001158283	PET117	0	Q6UWS5	PT117	1	1	1
NP_001158503	DTYMK	0	P23919	KTHY	0.886792452830189	1	1
NP_001158730	TMEM14C	0	Q9P0S9	TM14C	1	1	1
NP_001158889	SLC25A11	0	Q02978	M2OM	0.964968152866242	1	1
NP_001159418	IDE	1	P14735	IDE	1	1	1
NP_001159434	ELAC2	0	Q9BQ52	RNZ2	0.951573849878935	1	1
NP_001159482	ECI2	1	O75521	ECI2	1	1	1
NP_001159574	NDUFV1	0	P49821	NDUV1	0.980603448275862	1	1
NP_001159579	HMGCS2	0	P54868	HMCS2	0.917322834645669	1	1
NP_001159715	FHIT	1	P49789	FHIT	1	1	1
NP_001159733	MTIF3	0	Q9H2K0	IF3M	1	1	1
NP_001159828	SHMT2	0	P34897	GLYM	0.98015873015873	1	1
NP_001159887	EHHADH	0	Q08426	ECHP	1	1	1
NP_001161072	NEU4	0	Q8WWR8	NEUR4	1	1	1
NP_001161205	VARS2	0	Q5ST30	SYVM	1	1	1
NP_001161213	MTX3	1	Q5HYI7	MTX3	1	1	1
NP_001161221	ADCY10	0	Q96PN6	ADCYA	1	1	1
NP_001161343	DMAC2	1	Q9NW81	DMAC2	0.894941634241245	1	1
NP_001161442	TRMT2B	0	Q96GJ1	TRM2	1	1	1
NP_001162580	SCO2	1	O43819	SCO2	1	1	1
NP_001163	ARG2	0	P78540	ARGI2	1	1	1
NP_001163894	PRSS35	0	Q8N3Z0	PRS35	1	1	1
NP_001164006	ATAD3A	0	Q9NVI7	ATD3A	0.924290220820189	1	1
NP_001164014	PGAM5	1	Q96HS1	PGAM5	1	1	1
NP_001164626	PET100	0	P0DJ07	PT100	1	1	1
NP_001164641	SLC25A21	0	Q9BQT8	ODC	1	1	1
NP_001165074	PREPL	0	Q4J6C6	PPCEL	1	1	1
NP_001165161	GCAT	0	O75600	KBL	0.941573033707865	1	1
NP_001166115	TK2	0	O00142	KITM	0.905660377358491	1	1
NP_001166167	TSFM	0	P43897	EFTS	0.939306358381503	1	1
NP_001166983	MRRF	0	Q96E11	RRFM	0.801526717557252	1	1
NP_001167568	LDHB	1	P07195	LDHB	1	1	1
NP_001171500	ECI1	1	P42126	ECI1	0.943708609271523	1	1
NP_001171752	VDAC2	1	P45880	VDAC2	1	1	1
NP_001171820	FLAD1	0	Q8NFF5	FAD1	1	1	1
NP_001171908	NDUFS5	0	O43920	NDUS5	1	1	1
NP_001171915	NDUFC1	0	O43677	NDUC1	1	1	1
NP_001172023	NIT1	1	Q86X76	NIT1	1	1	1
NP_001173	ALDH7A1	0	P49419	AL7A1	1	1	1
NP_001177162	DNAJC19	0	Q96DA6	TIM14	1	1	1
NP_001177912	COQ7	1	Q99807	COQ7	1	1	1
NP_001177989	SLC25A22	0	Q9H936	GHC1	1	1	1
NP_001179	BAK1	0	Q16611	BAK	1	1	1
NP_001180196	SIRT5	0	Q9NXA8	SIR5	0.941935483870968	1	1
NP_001180240	SUGCT	0	Q9HAC7	SUCHY	0.9447983014862	1	1
NP_001180289	EXD2	1	Q9NVH0	EXD2	1	1	1
NP_001180467	TMEM126B	0	Q8IUX1	T126B	1	1	1
NP_001181	BCAT2	1	O15382	BCAT2	1	1	1
NP_001182060	TSTD3	1	H0UI37	TSTD3	1	1	1
NP_001182147	DCXR	1	Q7Z4W1	DCXR	0.991803278688525	1	1
NP_001182155	PRODH	0	O43272	PROD	1	1	1
NP_001182447	MICU1	1	Q9BPX6	MICU1	1	1	1
NP_001182451	MPC1L	1	P0DKB6	MPC1L	1	1	1
NP_001185461	OXR1	1	Q8N573	OXR1	1	1	1
NP_001185625	AIFM2	0	Q9BRQ8	FSP1	1	1	1
NP_001185890	ECHDC2	0	Q86YB7	ECHD2	1	1	1
NP_001185918	NFS1	1	Q9Y697	NFS1	0.888402625820569	1	1
NP_001186463	RAB5IF	0	Q9BUV8	RCAF1	1	1	1
NP_001186588	LETM2	1	Q2VYF4	LETM2	1	1	1
NP_001186674	ARL2	1	P36404	ARL2	0.853260869565217	1	1
NP_001186687	MTHFS	1	P49914	MTHFS	1	1	1
NP_001186778	DAP3	0	P51398	RT29	1	1	1
NP_001186781	AK3	0	Q9UIJ7	KAD3	0.823788546255507	1	1
NP_001186827	PDK2	1	Q15119	PDK2	1	1	1
NP_001186886	NDUFB5	0	O43674	NDUB5	0.724867724867725	1	1
NP_001186904	UQCRB	0	P14927	QCR7	1	1	1
NP_001186910	NDUFS1	0	P28331	NDUS1	0.950481430536451	1	1
NP_001186916	NDUFB6	0	O95139	NDUB6	0.7578125	1	1
NP_001187	BID	1	P55957	BID	1	1	1
NP_001188	BIK	1	Q13323	BIK	1	1	1
NP_001188503	NUBPL	1	Q8TB37	NUBPL	1	1	1
NP_001188505	PLSCR3	0	Q9NRY6	PLS3	1	1	1
NP_001189431	NIPSNAP1	0	Q9BPW8	NIPS1	0.929577464788732	1	1
NP_001190980	SLC25A27	0	O95847	UCP4	1	1	1
NP_001190984	NDUFC2	0	O95298	NDUC2	0.80672268907563	1	1
NP_001191019	COX16	1	Q9P0S2	COX16	0.773584905660377	1	1
NP_001191088	SPHK2	1	Q9NRA0	SPHK2	1	1	1
NP_001191759	LIPT1	0	Q9Y234	LIPT	1	1	1
NP_001192180	ACSL6	1	Q9UKU0	ACSL6	0.892395982783357	1	1
NP_001193355	ATP5MD	0	Q96IX5	ATPMK	1	1	1
NP_001193420	MAVS	1	Q7Z434	MAVS	1	1	1
NP_001203	C1QBP	1	Q07021	C1QBP	1	1	1
NP_001220	CASP9	1	P55211	CASP9	1	1	1
NP_001227	CBR3	1	O75828	CBR3	1	1	1
NP_001229236	PITRM1	0	Q5JRX3	PREP	0.999036608863198	1	1
NP_001229437	OSBPL1A	0	Q9BXW6	OSBL1	1	1	1
NP_001229602	AHCYL1	0	O43865	SAHH2	1	1	1
NP_001229696	MTHFD1L	0	Q6UB35	C1TM	0.998978549540347	1	1
NP_001229810	NAXD	0	Q8IW45	NNRD	1	1	1
NP_001229831	AKAP1	1	Q92667	AKAP1	1	1	1
NP_001230180	NARS2	0	Q96I59	SYNM	1	1	1
NP_001230328	GLRX2	1	Q9NS18	GLRX2	1	1	1
NP_001230618	LETMD1	0	Q6P1Q0	LTMD1	0.96514745308311	1	1
NP_001230679	NUDT8	1	Q8WV74	NUDT8	1	1	1
NP_001230707	PRXL2A	0	Q9BRX8	PXL2A	1	1	1
NP_001231178	APEX1	1	P27695	APEX1	1	1	1
NP_001231535	IMMP2L	0	Q96T52	IMP2L	1	1	1
NP_001231664	TMEM126A	0	Q9H061	T126A	1	1	1
NP_001231878	GPAM	0	Q9HCL2	GPAT1	1	1	1
NP_001234940	NUDT9	1	Q9BW91	NUDT9	0.908571428571429	1	1
NP_001239604	ACSS1	0	Q9NUB1	ACS2L	0.997097242380261	1	1
NP_001242936	PNPLA8	0	Q9NP80	PLPL8	1	1	1
NP_001243056	NSUN4	1	Q96CB9	NSUN4	1	1	1
NP_001243264	PTGES2	0	Q9H7Z7	PGES2	1	1	1
NP_001243332	PRELID3B	0	Q9Y3B1	PLD3B	0.845360824742268	1	1
NP_001243347	ATPAF1	0	Q5TC12	ATPF1	1	1	1
NP_001243406	CMPK2	1	Q5EBM0	CMPK2	1	1	1
NP_001243411	EPHX2	0	P34913	HYES	1	1	1
NP_001243439	SSBP1	0	Q04837	SSBP	1	1	1
NP_001243607	PRORP	0	O15091	MRPP3	0.972555746140652	1	1
NP_001243751	SEPTIN4	0	O43236	SEPT4	1	1	1
NP_001243893	CCDC51	0	Q96ER9	MITOK	1	1	1
NP_001244031	NDUFB3	0	O43676	NDUB3	1	1	1
NP_001244062	COX14	1	Q96I36	COX14	1	1	1
NP_001244941	FDXR	0	P22570	ADRO	0.919475655430712	1	1
NP_001245301	SPATA20	0	Q8TB22	SPT20	1	1	1
NP_001245317	ATPSCKMT	0	Q6P4H8	ACKMT	0.927038626609442	1	1
NP_001245321	CLPB	1	Q9H078	CLPB	0.957567185289958	1	1
NP_001245335	ACOD1	0	A6NK06	IRG1	1	1	1
NP_001245375	TOP1MT	0	Q969P6	TOP1M	1	1	1
NP_001245390	FASTK	1	Q14296	FASTK	0.950819672131147	1	1
NP_001247440	MGST1	1	P10620	MGST1	1	1	1
NP_001254792	SLIRP	1	Q9GZT3	SLIRP	0.981651376146789	1	1
NP_001257313	MIGA1	1	Q8NAN2	MIGA1	0.998420221169036	1	1
NP_001257412	TST	0	Q16762	THTR	1	1	1
NP_001257658	BCL2L13	0	Q9BXK5	B2L13	1	1	1
NP_001257711	TFAM	1	Q00059	TFAM	0.869918699186992	1	1
NP_001257808	MPC1	1	Q9Y5U8	MPC1	1	1	1
NP_001257817	SLC25A10	0	Q9UBX3	DIC	0.969594594594595	1	1
NP_001258142	SQOR	1	Q9Y6N5	SQOR	1	1	1
NP_001258214	ANTKMT	0	Q9BQD7	ANKMT	0.927659574468085	1	1
NP_001258349	TTC19	1	Q6DKK2	TTC19	1	1	1
NP_001258570	MTCH1	1	Q9NZJ7	MTCH1	1	1	1
NP_001258625	ABCB7	1	O75027	ABCB7	1	1	1
NP_001258691	DUS2	1	Q9NX74	DUS2L	1	1	1
NP_001258757	PRELID1	0	Q9Y255	PRLD1	0.949771689497717	1	1
NP_001258866	RMND1	1	Q9NWS8	RMND1	1	1	1
NP_001258978	TRAP1	1	Q12931	TRAP1	0.924715909090909	1	1
NP_001258980	C16orf91	0	Q4G0I0	CSMT1	1	1	1
NP_001263409	LONP1	0	P36776	LONM	1	1	1
NP_001263433	SDHD	0	O14521	DHSD	0.754716981132076	1	1
NP_001263990	MFF	1	Q9GZY8	MFF	1	1	1
NP_001265096	CDK5RAP1	0	Q96SZ6	CK5P1	0.97504159733777	1	1
NP_001265208	MRPL45	0	Q9BRJ2	RM45	0.836601307189543	1	1
NP_001265232	DIABLO	0	Q9NR28	DBLOH	1	1	1
NP_001265392	DNM1L	1	O00429	DNM1L	0.985054347826087	1	1
NP_001265519	LIAS	1	O43766	LIAS	0.884408602150538	1	1
NP_001265522	ALDH6A1	0	Q02252	MMSA	0.975700934579439	1	1
NP_001265574	NDUFB9	0	Q9Y6M9	NDUB9	1	1	1
NP_001265645	FBXL4	1	Q9UKA2	FBXL4	1	1	1
NP_001265660	HARS2	0	P49590	SYHM	0.950592885375494	1	1
NP_001266285	LYPLA1	0	O75608	LYPA1	0.852173913043478	1	1
NP_001267716	SURF1	1	Q15526	SURF1	1	1	1
NP_001267726	GLS2	0	Q9UI32	GLSL	1	1	1
NP_001268425	PHB	0	P35232	PHB1	1	1	1
NP_001268667	ETFDH	0	Q16134	ETFD	1	1	1
NP_001269072	NLRX1	1	Q86UT6	NLRX1	1	1	1
NP_001269124	SLC25A14	0	O95258	UCP5	1	1	1
NP_001269160	ARMCX2	0	Q7L311	ARMX2	1	1	1
NP_001269208	PYCR1	0	P32322	P5CR1	0.90282131661442	1	1
NP_001269220	ABCB8	0	Q9NUT2	MITOS	1	1	1
NP_001269332	MDH2	0	P40926	MDHM	0.875739644970414	1	1
NP_001269348	NDUFA5	0	Q16718	NDUA5	0.870689655172414	1	1
NP_001269842	TCAIM	1	Q8N3R3	TCAIM	1	1	1
NP_001269917	DHRS4	1	Q9BTZ2	DHRS4	0.877697841726619	1	1
NP_001269945	NUDT13	0	Q86X67	NUD13	1	1	1
NP_001271297	NDUFB8	0	O95169	NDUB8	1	1	1
NP_001271334	PTCD2	1	Q8WV60	PTCD2	1	1	1
NP_001273046	CCDC90B	0	Q9GZT6	CC90B	1	1	1
NP_001273113	SLC25A44	0	Q96H78	S2544	0.975155279503106	1	1
NP_001273149	GOT2	0	P00505	AATM	0.9	1	1
NP_001273195	MRS2	1	Q9HD23	MRS2	0.887133182844244	1	1
NP_001273302	TOMM40L	0	Q969M1	TM40L	0.88961038961039	1	1
NP_001273362	NME4	0	O00746	NDKM	0.818181818181818	1	1
NP_001273425	PIF1	1	Q9H611	PIF1	1	1	1
NP_001273612	AADAT	1	Q8N5Z0	AADAT	1	1	1
NP_001273636	RMDN1	0	Q96DB5	RMD1	0.863057324840764	1	1
