MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage	Type
NP_001677	ATP5F1B	0	P06576	ATPB	1	1	1	interacting
NP_001679	ATP5PB	0	P24539	AT5F1	1	1	1	interacting
NP_001688	ATP5PO	0	P48047	ATPO	1	1	1	interacting
NP_001852	COX4I1	0	P13073	COX41	1	1	1	interacting
NP_001853	COX5B	1	P10606	COX5B	1	1	1	interacting
NP_001854	COX6B1	0	P14854	CX6B1	1	1	1	interacting
NP_001855	COX7A1	0	P24310	CX7A1	1	1	1	interacting
NP_001856	COX7A2	0	P14406	CX7A2	1	1	0.721739130434783	interacting
NP_001857	COX7B	1	P24311	COX7B	1	1	1	interacting
NP_001858	COX7C	1	P15954	COX7C	1	1	1	interacting
NP_001907	CYC1	0	P08574	CY1	0.996923076923077	0.996923076923077	1	interacting
NP_002038	GARS1	0	P41250	GARS	1	1	1	interacting
NP_002479	NDUFA2	0	O43678	NDUA2	1	1	1	interacting
NP_002480	NDUFA4	0	O00483	NDUA4	1	1	1	interacting
NP_002481	NDUFA6	0	P56556	NDUA6	1	1	0.831168831168831	interacting
NP_002486	NDUFS4	0	O43181	NDUS4	1	1	1	interacting
NP_002487	NDUFS8	0	O00217	NDUS8	1	1	1	interacting
NP_002940	MRPL12	0	P52815	RM12	1	1	1	interacting
NP_003356	UQCRC1	0	P31930	QCR1	1	1	1	interacting
NP_003357	UQCRC2	0	P22695	QCR2	1	1	1	interacting
NP_003767	MRPL40	0	Q9NQ50	RM40	1	1	1	interacting
NP_004137	NDUFB7	0	P17568	NDUB7	1	1	1	interacting
NP_004246	COX5A	1	P20674	COX5A	1	1	1	interacting
NP_004364	COX6A1	0	P12074	CX6A1	1	1	1	interacting
NP_004365	COX6C	1	P09669	COX6C	1	1	1	interacting
NP_004532	NDUFA1	0	O15239	NDUA1	1	1	1	interacting
NP_004533	NDUFA3	0	O95167	NDUA3	1	1	1	interacting
NP_004535	NDUFA10	0	O95299	NDUAA	1	1	1	interacting
NP_004537	NDUFB2	0	O95178	NDUB2	1	1	1	interacting
NP_004538	NDUFB4	0	O95168	NDUB4	1	1	1	interacting
NP_004539	NDUFB10	0	O96000	NDUBA	1	1	1	interacting
NP_004541	NDUFS2	0	O75306	NDUS2	1	1	1	interacting
NP_004542	NDUFS3	0	O75489	NDUS3	1	1	1	interacting
NP_004544	NDUFS6	0	O75380	NDUS6	1	1	1	interacting
NP_004882	MRPL33	0	O75394	RM33	1	1	1	interacting
NP_004918	MRPL49	0	Q13405	RM49	1	1	1	interacting
NP_004992	NDUFA7	0	O95182	NDUA7	1	1	1	interacting
NP_004993	NDUFA9	0	Q16795	NDUA9	1	1	1	interacting
NP_004994	NDUFAB1	0	O14561	ACPM	1	1	1	interacting
NP_005026	POLRMT	0	O00411	RPOM	1	1	1	interacting
NP_005196	COX6A2	0	Q02221	CX6A2	1	1	1	interacting
NP_005539	KARS1	0	Q15046	SYK	1	1	1	interacting
NP_005821	MRPS31	0	Q92665	RT31	1	1	1	interacting
NP_005994	UQCRFS1	0	P47985	UCRI	1	1	1	interacting
NP_005995	UQCRH	0	P07919	QCR6	1	1	1	interacting
NP_006419	MRPL28	0	Q13084	RM28	1	1	1	interacting
NP_006467	ATP5MG	0	O75964	ATP5L	1	1	1	interacting
NP_006558	FARS2	0	O95363	SYFM	1	1	1	interacting
NP_006821	UQCR11	0	O14957	QCR10	1	1	1	interacting
NP_008817	ATP5F1E	0	P56381	ATP5E	1	1	1	interacting
NP_009031	ATP5ME	0	P56385	ATP5I	1	1	1	interacting
NP_009139	MRPL3	0	P09001	RM03	1	1	1	interacting
NP_009146	POLG2	0	Q9UHN1	DPOG2	1	1	1	interacting
NP_037519	UQCR10	0	Q9UDW1	QCR9	1	1	1	interacting
NP_054737	MRPS28	0	Q9Y2Q9	RT28	1	1	1	interacting
NP_054765	MRPS18B	0	Q9Y676	RT18B	1	1	1	interacting
NP_054769	MRPL42	0	Q9Y6G3	RM42	1	1	1	interacting
NP_054797	MRPL13	0	Q9BYD1	RM13	1	1	1	interacting
NP_054880	MRPL18	0	Q9H0U6	RM18	1	1	1	interacting
NP_054894	MRPL15	0	Q9P015	RM15	1	1	1	interacting
NP_055037	NDUFA8	0	P51970	NDUA8	1	1	1	interacting
NP_055217	UQCRQ	0	O14949	QCR8	1	1	1	interacting
NP_055578	MRPL19	0	P49406	RM19	1	1	1	interacting
NP_056155	LARS2	0	Q15031	SYLM	1	1	1	interacting
NP_056399	POLDIP2	0	Q9Y2S7	PDIP2	1	1	1	interacting
NP_056651	WARS2	0	Q9UGM6	SYWM	1	1	1	interacting
NP_057034	MRPL2	0	Q5T653	RM02	1	1	1	interacting
NP_057040	MRPL4	0	Q9BYD3	RM04	1	1	1	interacting
NP_057049	NDUFA13	0	Q9P0J0	NDUAD	1	1	1	interacting
NP_057053	MRPS17	0	Q9Y2R5	RT17	1	1	1	interacting
NP_057055	MRPS7	0	Q9Y2R9	RT07	1	1	1	interacting
NP_057097	NDUFAF1	0	Q9Y375	CIA30	1	1	1	interacting
NP_057118	MRPS2	0	Q9Y399	RT02	1	1	1	interacting
NP_057134	MRPL11	0	Q9Y3B7	RM11	1	1	1	interacting
NP_057139	MRPL48	0	Q96GC5	RM48	1	1	1	interacting
NP_057149	MRPS16	0	Q9Y3D3	RT16	1	1	1	interacting
NP_057151	MRPS18C	0	Q9Y3D5	RT18C	1	1	1	interacting
NP_057154	MRPS23	0	Q9Y3D9	RT23	1	1	1	interacting
NP_057155	MRPS33	0	Q9Y291	RT33	1	1	1	interacting
NP_057575	MRPL37	0	Q9BZE1	RM37	1	1	1	interacting
NP_057581	MRPL51	0	Q4U2R6	RM51	1	1	1	interacting
NP_057588	MRPL27	0	Q9P0M9	RM27	1	1	1	interacting
NP_057706	MRPL35	0	Q9NZE8	RM35	1	1	1	interacting
NP_057724	MRPS30	0	Q9NP92	RT30	1	1	1	interacting
NP_059142	MRPL39	0	Q9NYK5	RM39	0.997041420118343	0.997041420118343	1	interacting
NP_060297	SARS2	0	Q9NP81	SYSM	1	1	1	interacting
NP_060310	MRPL16	0	Q9NX20	RM16	1	1	1	interacting
NP_060441	MRPL20	0	Q9BYC9	RM20	1	1	1	interacting
NP_060530	IARS2	0	Q9NSE4	SYIM	1	1	1	interacting
NP_060592	DARS2	0	Q6PI48	SYDM	1	1	1	interacting
NP_060605	MRPS18A	0	Q9NVS2	RT18A	1	1	1	interacting
NP_060611	MRPS10	0	P82664	RT10	1	1	1	interacting
NP_061326	NDUFA12	0	Q9UI09	NDUAC	1	1	1	interacting
NP_061870	MRPS21	0	P82921	RT21	0.988505747126437	0.988505747126437	1	interacting
NP_061924	MRPL50	0	Q8N5N7	RM50	1	1	1	interacting
NP_064576	MRPS22	0	P82650	RT22	1	1	1	interacting
NP_064621	MRPL1	0	Q9BYD6	RM01	1	1	1	interacting
NP_064716	RARS2	0	Q5T160	SYRM	1	1	1	interacting
NP_065142	MRPL47	0	Q9HD33	RM47	1	1	1	interacting
NP_065796	AARS2	0	Q5JTZ9	SYAM	0.998984771573604	0.998984771573604	1	interacting
NP_066552	NDUFV2	0	P19404	NDUV2	1	1	1	interacting
NP_066930	MRPS12	0	O15235	RT12	1	1	1	interacting
NP_066957	MRPL23	0	Q16540	RM23	1	1	1	interacting
NP_068593	MRPS35	0	P82673	RT35	1	1	1	interacting
NP_071344	MRPL17	0	Q9NRX2	RM17	1	1	1	interacting
NP_071383	MRPS14	0	O60783	RT14	1	1	1	interacting
NP_071446	MRPL46	0	Q9H2W6	RM46	1	1	1	interacting
NP_071942	MRPS25	0	P82663	RT25	1	1	1	interacting
NP_073750	MRPS11	0	P82912	RT11	1	1	1	interacting
NP_075066	MRPL44	0	Q9H9J2	RM44	1	1	1	interacting
NP_076425	MRPS34	0	P82930	RT34	1	1	1	interacting
NP_076426	MRPL34	0	Q9BQ48	RM34	1	1	1	interacting
NP_076931	MRPL57	0	Q9BQC6	RT63	1	1	1	interacting
NP_077718	NDUFS7	0	O75251	NDUS7	1	1	1	interacting
NP_078816	MRPL24	0	Q96A35	RM24	1	1	1	interacting
NP_079426	TARS2	0	Q9BW92	SYTM	1	1	1	interacting
NP_110438	MRPS26	0	Q9BYN8	RT26	1	1	1	interacting
NP_112570	MRPS15	0	P82914	RT15	1	1	1	interacting
NP_113608	MRPL9	0	Q9BYD2	RM09	1	1	1	interacting
NP_114108	MRPS5	0	P82675	RT05	1	1	1	interacting
NP_114109	MRPL32	0	Q9BYC8	RM32	1	1	1	interacting
NP_114403	MRPS24	0	Q96EL2	RT24	1	1	1	interacting
NP_115487	MRPL14	0	Q6P1L8	RM14	1	1	1	interacting
NP_115488	MRPL43	0	Q8N983	RM43	1	1	0.974842767295597	interacting
NP_115865	MRPS6	0	P82932	RT06	1	1	1	interacting
NP_115866	MRPL41	0	Q8IXM3	RM41	1	1	1	interacting
NP_115867	MRPL38	0	Q96DV4	RM38	1	1	1	interacting
NP_115868	MRPL36	0	Q9P0J6	RM36	1	1	1	interacting
NP_115998	COX4I2	0	Q96KJ9	COX42	1	1	1	interacting
NP_444278	MRPL53	0	Q96EL3	RM53	1	1	1	interacting
NP_612404	MARS2	0	Q96GW9	SYMM	1	1	1	interacting
NP_653214	COX6B2	0	Q6YFQ2	CX6B2	1	1	1	interacting
NP_660213	MRPL30	0	Q8TCC3	RM30	1	1	1	interacting
NP_660298	MRPL10	0	Q7Z7H8	RM10	1	1	1	interacting
NP_689481	PARS2	0	Q7L3T8	SYPM	1	1	1	interacting
NP_733934	MRPL11	0	Q9Y3B7	RM11	0.864583333333333	1	1	interacting
NP_758455	MRPL54	0	Q6P161	RM54	1	1	1	interacting
NP_783313	NDUFA11	0	Q86Y39	NDUAB	1	1	1	interacting
NP_848026	MRPL52	0	Q86TS9	RM52	1	1	1	interacting
NP_852106	MRPL55	0	Q7Z7F7	RM55	1	1	1	interacting
NP_852615	MRPL21	0	Q7Z2W9	RM21	1	1	1	interacting
NP_872578	MRPS9	0	P82933	RT09	1	1	1	interacting
NP_892016	COX8C	1	Q7Z4L0	COX8C	1	1	1	interacting
NP_000007	ACADM	1	P11310	ACADM	1	1	1	non-interacting
NP_000008	ACADS	1	P16219	ACADS	1	1	1	non-interacting
NP_000009	ACADVL	0	P49748	ACADV	1	1	1	non-interacting
NP_000010	ACAT1	0	P24752	THIL	1	1	1	non-interacting
NP_000021	AGXT	0	P21549	SPYA	1	1	1	non-interacting
NP_000023	ALAS2	0	P22557	HEM0	1	1	1	non-interacting
NP_000024	ABCD1	1	P33897	ABCD1	1	1	1	non-interacting
NP_000047	BCKDHB	0	P21953	ODBB	1	1	1	non-interacting
NP_000088	CPOX	0	P36551	HEM6	1	1	1	non-interacting
NP_000089	CPT2	1	P23786	CPT2	1	1	1	non-interacting
NP_000099	DLD	0	P09622	DLDH	1	1	1	non-interacting
NP_000107	TAZ	1	Q16635	TAZ	0.897260273972603	1	1	non-interacting
NP_000117	ETFA	1	P13804	ETFA	1	1	1	non-interacting
NP_000131	FECH	0	P22830	HEMH	1	1	1	non-interacting
NP_000134	FH	0	P07954	FUMH	1	1	1	non-interacting
NP_000135	FXN	0	Q16595	FRDA	1	1	1	non-interacting
NP_000150	GCDH	1	Q92947	GCDH	1	1	1	non-interacting
NP_000161	GLDC	0	P23378	GCSP	1	1	1	non-interacting
NP_000173	HADHA	0	P40939	ECHA	1	1	1	non-interacting
NP_000174	HADHB	0	P55084	ECHB	1	1	1	non-interacting
NP_000182	HMGCL	1	P35914	HMGCL	1	1	1	non-interacting
NP_000231	MAOA	0	P21397	AOFA	1	1	1	non-interacting
NP_000246	MMUT	0	P22033	MUTA	1	1	1	non-interacting
NP_000265	OAT	1	P04181	OAT	1	1	1	non-interacting
NP_000273	PCCA	1	P05165	PCCA	1	1	1	non-interacting
NP_000275	PDHA1	0	P08559	ODPA	1	1	1	non-interacting
NP_000300	PPOX	1	P50336	PPOX	1	1	1	non-interacting
NP_000311	QDPR	0	P09417	DHPR	1	1	1	non-interacting
NP_000340	STAR	1	P49675	STAR	1	1	1	non-interacting
NP_000373	ALDH3A2	0	P51648	AL3A2	1	1	1	non-interacting
NP_000378	SLC25A20	0	O43772	MCAT	1	1	1	non-interacting
NP_000389	CYB5R3	0	P00387	NB5R3	1	1	1	non-interacting
NP_000399	GPD2	0	P43304	GPDM	1	1	1	non-interacting
NP_000405	HSD17B4	0	P51659	DHB4	1	1	1	non-interacting
NP_000427	OXCT1	0	P55809	SCOT1	1	1	1	non-interacting
NP_000445	SOD1	0	P00441	SODC	1	1	1	non-interacting
NP_000447	SUOX	1	P51687	SUOX	1	1	1	non-interacting
NP_000472	AMT	0	P48728	GCST	1	1	1	non-interacting
NP_000488	CYP11B1	0	P15538	C11B1	1	1	1	non-interacting
NP_000489	CYP11B2	0	P19099	C11B2	1	1	1	non-interacting
NP_000522	OTC	1	P00480	OTC	1	1	1	non-interacting
NP_000523	PCCB	1	P05166	PCCB	1	1	1	non-interacting
NP_000572	GPX1	1	P07203	GPX1	1	1	1	non-interacting
NP_000624	BCL2	1	P10415	BCL2	1	1	1	non-interacting
NP_000627	SOD2	0	P04179	SODM	1	1	1	non-interacting
NP_000628	GSR	0	P00390	GSHR	1	1	1	non-interacting
NP_000654	ABAT	0	P80404	GABT	1	1	1	non-interacting
NP_000679	ALAS1	0	P13196	HEM1	1	1	1	non-interacting
NP_000681	ALDH2	1	P05091	ALDH2	1	1	1	non-interacting
NP_000683	ALDH1B1	0	P30837	AL1B1	1	1	1	non-interacting
NP_000687	ALDH9A1	0	P49189	AL9A1	1	1	0.953667953667954	non-interacting
NP_000700	BCKDHA	0	P12694	ODBA	1	1	1	non-interacting
NP_000705	TSPO	1	P30536	TSPO	1	1	1	non-interacting
NP_000745	COMT	1	P21964	COMT	1	1	1	non-interacting
NP_000746	CRAT	0	P43155	CACP	0.998402555910543	0.998402555910543	1	non-interacting
NP_000772	CYP11A1	0	P05108	CP11A	1	1	1	non-interacting
NP_000773	CYP24A1	0	Q07973	CP24A	1	1	1	non-interacting
NP_000775	CYP27A1	0	Q02318	CP27A	1	1	1	non-interacting
NP_000776	CYP27B1	0	O15528	CP27B	1	1	1	non-interacting
NP_000849	GUK1	0	Q16774	KGUA	1	1	1	non-interacting
NP_000889	MAOB	0	P27338	AOFB	1	1	1	non-interacting
NP_000911	PC	0	P11498	PYC	1	1	1	non-interacting
NP_000916	PDHB	0	P11177	ODPB	1	1	1	non-interacting
NP_001001563	TIMM50	0	Q3ZCQ8	TIM50	1	1	0.774122807017544	non-interacting
NP_001001660	ETFRF1	0	Q6IPR1	ETFR1	1	1	1	non-interacting
NP_001001790	TOMM5	0	Q8N4H5	TOM5	1	1	1	non-interacting
NP_001001795	C8orf82	0	Q6P1X6	CH082	1	1	1	non-interacting
NP_001002019	PUS1	0	Q9Y606	TRUA	1	1	1	non-interacting
NP_001002030	ECHDC1	0	Q9NTX5	ECHD1	1	1	1	non-interacting
NP_001002755	NFU1	1	Q9UMS0	NFU1	1	1	1	non-interacting
NP_001002913	PTRH1	0	Q86Y79	PTH	1	1	1	non-interacting
NP_001003941	OGDH	0	Q02218	ODO1	1	1	0.943793911007026	non-interacting
NP_001005353	AK4	0	P27144	KAD4	1	1	1	non-interacting
NP_001005369	MTIF2	0	P46199	IF2M	1	1	1	non-interacting
NP_001005783	HAO2	0	Q9NYQ3	HAOX2	1	1	1	non-interacting
NP_001006642	SLC25A25	0	Q6KCM7	SCMC2	1	1	0.829025844930418	non-interacting
NP_001007100	SCP2	1	P22307	SCP2	1	1	1	non-interacting
NP_001008216	COA5	1	Q86WW8	COA5	1	1	1	non-interacting
NP_001008661	KYAT3	0	Q6YP21	KAT3	1	1	1	non-interacting
NP_001009185	ACSL6	1	Q9UKU0	ACSL6	1	1	0.965373961218837	non-interacting
NP_001009584	ARMCX6	0	Q7L4S7	ARMX6	1	1	1	non-interacting
NP_001009814	VWA8	1	A3KMH1	VWA8	1	1	1	non-interacting
NP_001010845	ACSM2A	0	Q08AH3	ACS2A	0.998266897746967	0.998266897746967	1	non-interacting
NP_001010867	IBA57	0	Q5T440	CAF17	1	1	1	non-interacting
NP_001010875	SLC25A30	0	Q5SVS4	KMCP1	1	1	1	non-interacting
NP_001011671	CHCHD7	0	Q9BUK0	CHCH7	1	1	1	non-interacting
NP_001011700	MCCD1	1	P59942	MCCD1	1	1	1	non-interacting
NP_001012773	SLC25A53	0	Q5H9E4	S2553	1	1	1	non-interacting
NP_001013003	COA6	1	Q5JTJ3	COA6	1	1	1	non-interacting
NP_001013454	MPST	0	P25325	THTM	1	1	1	non-interacting
NP_001014446	OCIAD2	0	Q56VL3	OCAD2	1	1	1	non-interacting
NP_001014811	ME3	0	Q16798	MAON	1	1	1	non-interacting
NP_001015001	CKMT1A	0	P12532	KCRU	1	1	1	non-interacting
NP_001017423	ALDH18A1	0	P54886	P5CS	0.99748427672956	1	1	non-interacting
NP_001017524	SIRT3	0	Q9NTG7	SIR3	1	1	1	non-interacting
NP_001017928	CCDC58	0	Q4VC31	MIX23	1	1	1	non-interacting
NP_001018024	CMC4	1	P56277	CMC4	1	1	1	non-interacting
NP_001018070	AIFM3	1	Q96NN9	AIFM3	0.988429752066116	1	1	non-interacting
NP_001018088	FPGS	0	Q05932	FOLC	1	1	1	non-interacting
NP_001020419	DUT	1	P33316	DUT	1	1	1	non-interacting
NP_001026788	COX19	1	Q49B96	COX19	1	1	1	non-interacting
NP_001026847	RAB24	1	Q969Q5	RAB24	1	1	1	non-interacting
NP_001026871	NT5DC3	0	Q86UY8	NT5D3	1	1	1	non-interacting
NP_001026883	MCUR1	1	Q96AQ8	MCUR1	1	1	1	non-interacting
NP_001026904	FDX2	1	Q6P4F2	FDX2	1	1	1	non-interacting
NP_001027535	MICOS10	0	Q5TGZ0	MIC10	1	1	1	non-interacting
NP_001028222	MTERF2	0	Q49AM1	MTEF2	1	1	1	non-interacting
NP_001028260	NGRN	1	Q9NPE2	NGRN	1	1	1	non-interacting
NP_001028738	RHOT1	0	Q8IXI2	MIRO1	0.937784522003035	1	1	non-interacting
NP_001028755	ACOT9	1	Q9Y305	ACOT9	1	1	1	non-interacting
NP_001029344	SLC25A52	0	Q3SY17	S2552	1	1	0.96742671009772	non-interacting
NP_001029345	ALDH1L2	0	Q3SY69	AL1L2	1	1	1	non-interacting
NP_001030589	SDHC	0	Q99643	C560	0.798816568047337	1	1	non-interacting
NP_001032626	PHYH	0	O14832	PAHX	1	1	1	non-interacting
NP_001032900	HSD17B10	0	Q99714	HCD2	0.96551724137931	1	1	non-interacting
NP_001034444	SLC25A29	0	Q8N8R3	MCATL	1	1	1	non-interacting
NP_001034672	PICK1	1	Q9NRD5	PICK1	1	1	1	non-interacting
NP_001034931	OXLD1	1	Q5BKU9	OXLD1	1	1	1	non-interacting
NP_001035282	DNAJC28	0	Q9NX36	DJC28	1	1	1	non-interacting
NP_001035517	HAGH	0	Q16775	GLO2	1	1	1	non-interacting
NP_001035521	COA3	1	Q9Y2R0	COA3	1	1	1	non-interacting
NP_001035808	GDAP1	1	Q8TB36	GDAP1	1	1	1	non-interacting
NP_001035958	SMIM8	1	Q96KF7	SMIM8	1	1	1	non-interacting
NP_001035994	COASY	1	Q13057	COASY	1	1	1	non-interacting
NP_001036096	SDHAF1	0	A6NFY7	SDHF1	0.991304347826087	0.991304347826087	1	non-interacting
NP_001036694	CSKMT	1	A8MUP2	CSKMT	1	1	1	non-interacting
NP_001041636	MUTYH	1	Q9UIF7	MUTYH	0.97985347985348	1	1	non-interacting
NP_001068566	MOCS1	1	Q9NZB8	MOCS1	1	1	0.994805194805195	non-interacting
NP_001070148	LYRM9	1	A8MSI8	LYRM9	1	1	1	non-interacting
NP_001070709	SLC25A45	0	Q8N413	S2545	1	1	1	non-interacting
NP_001071	ALDH5A1	0	P51649	SSDH	1	1	1	non-interacting
NP_001072992	PAICS	0	P22234	PUR6	1	1	1	non-interacting
NP_001073308	OCIAD1	0	Q9NX40	OCAD1	1	1	1	non-interacting
NP_001073331	DBI	0	P07108	ACBP	1	1	1	non-interacting
NP_001073335	BCS1L	0	Q9Y276	BCS1	1	1	1	non-interacting
NP_001073593	CASP8	1	Q14790	CASP8	0.968684759916493	1	1	non-interacting
NP_001073918	DNA2	1	P51530	DNA2	1	1	1	non-interacting
NP_001073923	ACSM4	1	P0C7M7	ACSM4	1	1	1	non-interacting
NP_001074318	DNLZ	1	Q5SXM8	DNLZ	1	1	1	non-interacting
NP_001075029	DMPK	1	Q09013	DMPK	0.992050874403816	1	1	non-interacting
NP_001077432	TDRKH	1	Q9Y2W6	TDRKH	1	1	1	non-interacting
NP_001078841	UQCC3	1	Q6UW78	UQCC3	1	1	1	non-interacting
NP_001078880	NADK2	0	Q4G0N4	NAKD2	1	1	1	non-interacting
NP_001079990	NDUFAF8	0	A1L188	NDUF8	1	1	1	non-interacting
NP_001084	ACACB	1	O00763	ACACB	1	1	1	non-interacting
NP_001087	ACLY	1	P53396	ACLY	1	1	1	non-interacting
NP_001087240	TXNRD1	0	Q16881	TRXR1	1	1	1	non-interacting
NP_001089	ACO2	0	Q99798	ACON	1	1	1	non-interacting
NP_001091947	GRSF1	1	Q12849	GRSF1	1	1	1	non-interacting
NP_001091972	CHCHD4	0	Q8N4Q1	MIA40	1	1	1	non-interacting
NP_001091991	HTATIP2	0	Q9BUP3	HTAI2	1	1	1	non-interacting
NP_001092271	FAM210A	0	Q96ND0	F210A	1	1	1	non-interacting
NP_001092756	MTFR2	1	Q6P444	MTFR2	1	1	1	non-interacting
NP_001093095	MTFR1L	0	Q9H019	MFR1L	1	1	1	non-interacting
NP_001093139	HIGD1A	0	Q9Y241	HIG1A	1	1	1	non-interacting
NP_001093205	CKMT2	0	P17540	KCRS	1	1	1	non-interacting
NP_001093639	IMMT	0	Q16891	MIC60	0.99868073878628	1	1	non-interacting
NP_001095132	NRDC	1	O43847	NRDC	1	1	1	non-interacting
NP_001095836	DGLUCY	0	Q7Z3D6	GLUCM	1	1	1	non-interacting
NP_001098117	SLC25A36	0	Q96CQ1	S2536	1	1	1	non-interacting
NP_001098539	ACSM2B	0	Q68CK6	ACS2B	1	1	1	non-interacting
NP_001098668	TMEM177	0	Q53S58	TM177	1	1	1	non-interacting
NP_001099040	NUDT19	0	A8MXV4	NUD19	1	1	1	non-interacting
NP_001103408	C6orf136	0	Q5SQH8	CF136	1	1	1	non-interacting
NP_001106678	TSTD1	1	Q8NFU3	TSTD1	1	1	1	non-interacting
NP_001107000	METTL15	0	A6NJ78	MET15	1	1	1	non-interacting
NP_001116080	HCCS	0	P53701	CCHL	1	1	1	non-interacting
NP_001116106	CPS1	0	P31327	CPSM	1	1	1	non-interacting
NP_001116429	BCKDK	0	O14874	BCKD	1	1	1	non-interacting
NP_001116698	MTO1	1	Q9Y2Z2	MTO1	0.914134742404227	1	1	non-interacting
NP_001116849	PARK7	1	Q99497	PARK7	1	1	1	non-interacting
NP_001119593	SLC25A19	0	Q9HC21	TPC	1	1	1	non-interacting
NP_001120686	ACSF3	1	Q4G176	ACSF3	1	1	1	non-interacting
NP_001120691	ACCS	0	Q96QU6	1A1L1	1	1	1	non-interacting
NP_001120701	AURKAIP1	0	Q9NWT8	AKIP	1	1	1	non-interacting
NP_001120712	BBC3	0	Q96PG8	BBC3B	1	1	1	non-interacting
NP_001121132	MFN2	1	O95140	MFN2	1	1	1	non-interacting
NP_001121773	LYRM1	1	O43325	LYRM1	1	1	1	non-interacting
NP_001121895	MPV17L	0	Q2QL34	MP17L	1	1	1	non-interacting
NP_001122098	SPIRE1	0	Q08AE8	SPIR1	1	1	1	non-interacting
NP_001122103	DCAKD	1	Q8WVC6	DCAKD	1	1	1	non-interacting
NP_001122327	GTPBP3	0	Q969Y2	GTPB3	0.957317073170732	1	1	non-interacting
NP_001122388	TOMM40	0	O96008	TOM40	1	1	1	non-interacting
NP_001123514	CRYZ	0	Q08257	QOR	1	1	1	non-interacting
NP_001123552	IFI27	1	P40305	IFI27	1	1	1	non-interacting
NP_001124318	AIFM1	1	O95831	AIFM1	1	1	1	non-interacting
NP_001127965	TOMM6	0	Q96B49	TOM6	1	1	1	non-interacting
NP_001128179	SARDH	1	Q9UL12	SARDH	1	1	1	non-interacting
NP_001128582	DNAJA3	0	Q96EY1	DNJA3	1	1	0.986754966887417	non-interacting
NP_001129142	MSRA	1	Q9UJ68	MSRA	0.829787234042553	1	1	non-interacting
NP_001129166	VDAC3	1	Q9Y277	VDAC3	0.996478873239437	1	1	non-interacting
NP_001129293	FDPS	0	P14324	FPPS	1	1	1	non-interacting
NP_001129335	ETFBKMT	0	Q8IXQ9	ETKMT	1	1	1	non-interacting
NP_001129507	TRMT1	0	Q9NXH9	TRM1	1	1	1	non-interacting
NP_001129511	NIF3L1	0	Q9GZT8	NIF3L	1	1	1	non-interacting
NP_001129522	DHRS1	1	Q96LJ7	DHRS1	1	1	1	non-interacting
NP_001129524	CPT1C	1	Q8TCG5	CPT1C	0.986301369863014	1	1	non-interacting
