xiphophorus_groups/OG0000213.fa:1:>sp|P40305|IFI27_HUMAN
xiphophorus_groups/OG0000781.fa:9:>sp|Q9BZ23|PANK2_HUMAN
xiphophorus_groups/OG0000781.fa:31:>sp|Q7M753|PANK2_MOUSE
xiphophorus_groups/OG0000783.fa:1:>sp|Q02218|ODO1_HUMAN
xiphophorus_groups/OG0000783.fa:20:>sp|Q9ULD0|OGDHL_HUMAN
xiphophorus_groups/OG0000783.fa:38:>sp|Q60597|ODO1_MOUSE
xiphophorus_groups/OG0000783.fa:57:>tr|E9Q7L0|E9Q7L0_MOUSE
xiphophorus_groups/OG0000789.fa:1:>sp|Q3SY69|AL1L2_HUMAN
xiphophorus_groups/OG0000789.fa:18:>sp|O75891|AL1L1_HUMAN
xiphophorus_groups/OG0000789.fa:35:>sp|Q8K009|AL1L2_MOUSE
xiphophorus_groups/OG0000789.fa:52:>sp|Q8R0Y6|AL1L1_MOUSE
xiphophorus_groups/OG0000816.fa:1:>sp|P08559|ODPA_HUMAN
xiphophorus_groups/OG0000816.fa:9:>sp|P29803|ODPAT_HUMAN
xiphophorus_groups/OG0000816.fa:17:>sp|P35486|ODPA_MOUSE
xiphophorus_groups/OG0000816.fa:25:>sp|P35487|ODPAT_MOUSE
xiphophorus_groups/OG0000832.fa:1:>sp|P25325|THTM_HUMAN
xiphophorus_groups/OG0000832.fa:7:>sp|Q99J99|THTM_MOUSE
xiphophorus_groups/OG0000844.fa:10:>sp|P51648|AL3A2_HUMAN
xiphophorus_groups/OG0000844.fa:29:>sp|P47740|AL3A2_MOUSE
xiphophorus_groups/OG0000939.fa:1:>sp|P32322|P5CR1_HUMAN
xiphophorus_groups/OG0000939.fa:8:>sp|Q96C36|P5CR2_HUMAN
xiphophorus_groups/OG0000939.fa:15:>sp|Q922Q4|P5CR2_MOUSE
xiphophorus_groups/OG0000939.fa:22:>sp|Q922W5|P5CR1_MOUSE
xiphophorus_groups/OG0000971.fa:6:>sp|Q9Y2D0|CAH5B_HUMAN
xiphophorus_groups/OG0000971.fa:13:>sp|P35218|CAH5A_HUMAN
xiphophorus_groups/OG0000971.fa:20:>sp|P23589|CAH5A_MOUSE
xiphophorus_groups/OG0000971.fa:26:>sp|Q9QZA0|CAH5B_MOUSE
xiphophorus_groups/OG0000975.fa:1:>sp|Q9UFN0|NPS3A_HUMAN
xiphophorus_groups/OG0000975.fa:7:>sp|Q9BS92|NPS3B_HUMAN
xiphophorus_groups/OG0000975.fa:13:>tr|B1AWZ3|B1AWZ3_MOUSE
xiphophorus_groups/OG0000975.fa:19:>sp|Q9CQE1|NPS3B_MOUSE
xiphophorus_groups/OG0000981.fa:1:>sp|Q96AB3|ISOC2_HUMAN
xiphophorus_groups/OG0000981.fa:17:>sp|P85094|ISC2A_MOUSE
xiphophorus_groups/OG0000985.fa:1:>sp|O60218|AK1BA_HUMAN
xiphophorus_groups/OG0001015.fa:1:>sp|Q9Y619|ORNT1_HUMAN
xiphophorus_groups/OG0001015.fa:15:>sp|Q9WVD5|ORNT1_MOUSE
xiphophorus_groups/OG0001015.fa:22:>tr|Q99ML6|Q99ML6_MOUSE
xiphophorus_groups/OG0001026.fa:1:>sp|Q13085|ACACA_HUMAN
xiphophorus_groups/OG0001026.fa:42:>sp|O00763|ACACB_HUMAN
xiphophorus_groups/OG0001026.fa:84:>sp|Q5SWU9|ACACA_MOUSE
xiphophorus_groups/OG0001026.fa:125:>sp|E9Q4Z2|ACACB_MOUSE
xiphophorus_groups/OG0001048.fa:1:>sp|P55809|SCOT1_HUMAN
xiphophorus_groups/OG0001048.fa:11:>sp|Q9BYC2|SCOT2_HUMAN
xiphophorus_groups/OG0001048.fa:21:>sp|Q9JJN4|SCO2A_MOUSE
xiphophorus_groups/OG0001048.fa:41:>sp|Q9D0K2|SCOT1_MOUSE
xiphophorus_groups/OG0001087.fa:1:>sp|O94925|GLSK_HUMAN
xiphophorus_groups/OG0001087.fa:14:>sp|D3Z7P3|GLSK_MOUSE
xiphophorus_groups/OG0001113.fa:7:>sp|A0A0B4J2D5|GAL3B_HUMAN
xiphophorus_groups/OG0001113.fa:13:>sp|Q9D172|GAL3A_MOUSE
xiphophorus_groups/OG0001126.fa:1:>sp|P17540|KCRS_HUMAN
xiphophorus_groups/OG0001126.fa:9:>sp|P12532|KCRU_HUMAN
xiphophorus_groups/OG0001126.fa:17:>sp|Q6P8J7|KCRS_MOUSE
xiphophorus_groups/OG0001126.fa:25:>sp|P30275|KCRU_MOUSE
xiphophorus_groups/OG0001150.fa:1:>sp|Q16822|PCKGM_HUMAN
xiphophorus_groups/OG0001150.fa:25:>sp|Q8BH04|PCKGM_MOUSE
xiphophorus_groups/OG0001178.fa:1:>sp|P84085|ARF5_HUMAN
xiphophorus_groups/OG0001178.fa:9:>sp|P84084|ARF5_MOUSE
xiphophorus_groups/OG0001202.fa:1:>sp|Q9Y4W6|AFG32_HUMAN
xiphophorus_groups/OG0001202.fa:16:>sp|Q920A7|AFG31_MOUSE
xiphophorus_groups/OG0001202.fa:31:>sp|Q8JZQ2|AFG32_MOUSE
xiphophorus_groups/OG0001205.fa:1:>sp|Q9BYT8|NEUL_HUMAN
xiphophorus_groups/OG0001205.fa:40:>sp|Q91YP2|NEUL_MOUSE
xiphophorus_groups/OG0001210.fa:1:>sp|P27338|AOFB_HUMAN
xiphophorus_groups/OG0001210.fa:11:>sp|P21397|AOFA_HUMAN
xiphophorus_groups/OG0001210.fa:21:>sp|Q8BW75|AOFB_MOUSE
xiphophorus_groups/OG0001210.fa:31:>sp|Q64133|AOFA_MOUSE
xiphophorus_groups/OG0001247.fa:1:>sp|P27105|STOM_HUMAN
xiphophorus_groups/OG0001247.fa:7:>sp|P54116|STOM_MOUSE
xiphophorus_groups/OG0001259.fa:13:>sp|Q16881|TRXR1_HUMAN
xiphophorus_groups/OG0001259.fa:37:>sp|Q9JMH6|TRXR1_MOUSE
xiphophorus_groups/OG0001261.fa:4:>sp|O75964|ATP5L_HUMAN
xiphophorus_groups/OG0001261.fa:10:>sp|Q9CPQ8|ATP5L_MOUSE
xiphophorus_groups/OG0001291.fa:1:>sp|Q9UJS0|CMC2_HUMAN
xiphophorus_groups/OG0001291.fa:14:>sp|O75746|CMC1_HUMAN
xiphophorus_groups/OG0001291.fa:27:>sp|Q9QXX4|CMC2_MOUSE
xiphophorus_groups/OG0001291.fa:40:>sp|Q8BH59|CMC1_MOUSE
xiphophorus_groups/OG0001348.fa:1:>sp|P82675|RT05_HUMAN
xiphophorus_groups/OG0001348.fa:10:>sp|Q99N87|RT05_MOUSE
xiphophorus_groups/OG0001358.fa:1:>sp|Q6NUK1|SCMC1_HUMAN
xiphophorus_groups/OG0001358.fa:10:>sp|Q8BMD8|SCMC1_MOUSE
xiphophorus_groups/OG0001358.fa:19:>tr|B1AUS6|B1AUS6_MOUSE
xiphophorus_groups/OG0001362.fa:1:>sp|P05091|ALDH2_HUMAN
xiphophorus_groups/OG0001362.fa:11:>sp|P30837|AL1B1_HUMAN
xiphophorus_groups/OG0001362.fa:21:>sp|Q9CZS1|AL1B1_MOUSE
xiphophorus_groups/OG0001362.fa:31:>sp|P47738|ALDH2_MOUSE
xiphophorus_groups/OG0001368.fa:4:>sp|P07919|QCR6_HUMAN
xiphophorus_groups/OG0001368.fa:7:>sp|P99028|QCR6_MOUSE
xiphophorus_groups/OG0001381.fa:15:>sp|O43488|ARK72_HUMAN
xiphophorus_groups/OG0001381.fa:22:>sp|Q8CG76|ARK72_MOUSE
xiphophorus_groups/OG0001386.fa:1:>sp|Q96CM8|ACSF2_HUMAN
xiphophorus_groups/OG0001386.fa:13:>sp|Q8VCW8|ACSF2_MOUSE
xiphophorus_groups/OG0001421.fa:1:>sp|P55916|UCP3_HUMAN
xiphophorus_groups/OG0001421.fa:8:>sp|P55851|UCP2_HUMAN
xiphophorus_groups/OG0001421.fa:15:>sp|P56501|UCP3_MOUSE
xiphophorus_groups/OG0001421.fa:22:>sp|P70406|UCP2_MOUSE
xiphophorus_groups/OG0001447.fa:1:>sp|Q9H4I9|EMRE_HUMAN
xiphophorus_groups/OG0001447.fa:4:>sp|Q9DB10|EMRE_MOUSE
xiphophorus_groups/OG0001475.fa:7:>sp|P47985|UCRI_HUMAN
xiphophorus_groups/OG0001475.fa:13:>sp|Q9CR68|UCRI_MOUSE
xiphophorus_groups/OG0001483.fa:1:>sp|Q96NN9|AIFM3_HUMAN
xiphophorus_groups/OG0001483.fa:13:>sp|Q3TY86|AIFM3_MOUSE
xiphophorus_groups/OG0001490.fa:1:>sp|Q9BUP0|EFHD1_HUMAN
xiphophorus_groups/OG0001490.fa:16:>sp|Q9D4J1|EFHD1_MOUSE
xiphophorus_groups/OG0001499.fa:7:>sp|Q9P0S9|TM14C_HUMAN
xiphophorus_groups/OG0001499.fa:10:>sp|Q9CQN6|TM14C_MOUSE
xiphophorus_groups/OG0001556.fa:1:>sp|Q9UBJ2|ABCD2_HUMAN
xiphophorus_groups/OG0001556.fa:15:>sp|Q61285|ABCD2_MOUSE
xiphophorus_groups/OG0001605.fa:1:>sp|Q9Y2R0|COA3_HUMAN
xiphophorus_groups/OG0001605.fa:4:>sp|Q9D2R6|COA3_MOUSE
xiphophorus_groups/OG0001627.fa:10:>sp|Q9BQ69|MACD1_HUMAN
xiphophorus_groups/OG0001627.fa:17:>sp|Q922B1|MACD1_MOUSE
xiphophorus_groups/OG0001635.fa:1:>sp|Q9BWM7|SFXN3_HUMAN
xiphophorus_groups/OG0001635.fa:8:>sp|Q9H9B4|SFXN1_HUMAN
xiphophorus_groups/OG0001635.fa:15:>sp|Q91V61|SFXN3_MOUSE
xiphophorus_groups/OG0001635.fa:22:>sp|Q99JR1|SFXN1_MOUSE
xiphophorus_groups/OG0001641.fa:1:>sp|Q9BXW7|HDHD5_HUMAN
xiphophorus_groups/OG0001641.fa:10:>sp|Q91WM2|HDHD5_MOUSE
xiphophorus_groups/OG0001650.fa:11:>sp|P49590|SYHM_HUMAN
xiphophorus_groups/OG0001650.fa:21:>sp|Q99KK9|SYHM_MOUSE
xiphophorus_groups/OG0001666.fa:1:>sp|Q9NQE9|HINT3_HUMAN
xiphophorus_groups/OG0001666.fa:6:>sp|Q9CPS6|HINT3_MOUSE
xiphophorus_groups/OG0001690.fa:1:>sp|Q9BYV7|BCDO2_HUMAN
xiphophorus_groups/OG0001690.fa:12:>sp|Q99NF1|BCDO2_MOUSE
xiphophorus_groups/OG0001692.fa:1:>sp|O00429|DNM1L_HUMAN
xiphophorus_groups/OG0001692.fa:15:>sp|Q8K1M6|DNM1L_MOUSE
xiphophorus_groups/OG0001695.fa:1:>sp|A6NK06|IRG1_HUMAN
xiphophorus_groups/OG0001695.fa:11:>sp|P54987|IRG1_MOUSE
xiphophorus_groups/OG0001698.fa:1:>sp|P00367|DHE3_HUMAN
xiphophorus_groups/OG0001698.fa:12:>sp|P49448|DHE4_HUMAN
xiphophorus_groups/OG0001698.fa:23:>sp|P26443|DHE3_MOUSE
xiphophorus_groups/OG0001702.fa:9:>sp|Q9NVI7|ATD3A_HUMAN
xiphophorus_groups/OG0001702.fa:21:>sp|Q5T9A4|ATD3B_HUMAN
xiphophorus_groups/OG0001702.fa:33:>sp|Q925I1|ATAD3_MOUSE
xiphophorus_groups/OG0001713.fa:1:>sp|Q9NP80|PLPL8_HUMAN
xiphophorus_groups/OG0001713.fa:16:>sp|Q8K1N1|PLPL8_MOUSE
xiphophorus_groups/OG0001725.fa:1:>sp|P28331|NDUS1_HUMAN
xiphophorus_groups/OG0001725.fa:15:>sp|Q91VD9|NDUS1_MOUSE
xiphophorus_groups/OG0001733.fa:1:>sp|P07203|GPX1_HUMAN
xiphophorus_groups/OG0001733.fa:6:>sp|P11352|GPX1_MOUSE
xiphophorus_groups/OG0001745.fa:1:>sp|P43155|CACP_HUMAN
xiphophorus_groups/OG0001745.fa:13:>sp|P47934|CACP_MOUSE
xiphophorus_groups/OG0001748.fa:1:>sp|Q8WXI4|ACO11_HUMAN
xiphophorus_groups/OG0001748.fa:13:>sp|Q8VHQ9|ACO11_MOUSE
xiphophorus_groups/OG0001754.fa:1:>sp|Q99798|ACON_HUMAN
xiphophorus_groups/OG0001754.fa:15:>sp|Q99KI0|ACON_MOUSE
xiphophorus_groups/OG0001766.fa:1:>sp|Q9NX47|MARH5_HUMAN
xiphophorus_groups/OG0001766.fa:7:>sp|Q3KNM2|MARH5_MOUSE
xiphophorus_groups/OG0001776.fa:1:>sp|Q8N8R3|MCATL_HUMAN
xiphophorus_groups/OG0001776.fa:8:>sp|Q8BL03|MCATL_MOUSE
xiphophorus_groups/OG0001785.fa:1:>sp|Q9P0J1|PDP1_HUMAN
xiphophorus_groups/OG0001785.fa:11:>sp|Q3UV70|PDP1_MOUSE
xiphophorus_groups/OG0001804.fa:1:>sp|Q9Y584|TIM22_HUMAN
xiphophorus_groups/OG0001804.fa:6:>sp|Q9CQ85|TIM22_MOUSE
xiphophorus_groups/OG0001820.fa:1:>sp|P30041|PRDX6_HUMAN
xiphophorus_groups/OG0001820.fa:11:>sp|O08709|PRDX6_MOUSE
xiphophorus_groups/OG0001885.fa:1:>sp|P10606|COX5B_HUMAN
xiphophorus_groups/OG0001885.fa:5:>sp|P19536|COX5B_MOUSE
xiphophorus_groups/OG0001889.fa:1:>sp|P05108|CP11A_HUMAN
xiphophorus_groups/OG0001889.fa:11:>sp|Q9QZ82|CP11A_MOUSE
xiphophorus_groups/OG0001928.fa:12:>sp|Q96QU6|1A1L1_HUMAN
xiphophorus_groups/OG0001930.fa:1:>sp|Q8TF08|CX7B2_HUMAN
xiphophorus_groups/OG0001930.fa:4:>sp|P24311|COX7B_HUMAN
xiphophorus_groups/OG0001930.fa:7:>sp|P56393|COX7B_MOUSE
xiphophorus_groups/OG0001932.fa:1:>sp|Q9UBQ7|GRHPR_HUMAN
xiphophorus_groups/OG0001932.fa:8:>sp|Q91Z53|GRHPR_MOUSE
xiphophorus_groups/OG0001937.fa:1:>sp|P56134|ATPK_HUMAN
xiphophorus_groups/OG0001937.fa:4:>sp|P56135|ATPK_MOUSE
xiphophorus_groups/OG0001953.fa:1:>sp|Q9H936|GHC1_HUMAN
xiphophorus_groups/OG0001953.fa:8:>sp|Q9D6M3|GHC1_MOUSE
xiphophorus_groups/OG0001995.fa:1:>sp|P42574|CASP3_HUMAN
xiphophorus_groups/OG0001995.fa:7:>sp|P70677|CASP3_MOUSE
xiphophorus_groups/OG0001999.fa:1:>sp|Q49AM1|MTEF2_HUMAN
xiphophorus_groups/OG0001999.fa:9:>sp|Q8BKY8|MTEF2_MOUSE
xiphophorus_groups/OG0002005.fa:1:>sp|Q5VT66|MARC1_HUMAN
xiphophorus_groups/OG0002005.fa:8:>sp|Q969Z3|MARC2_HUMAN
xiphophorus_groups/OG0002005.fa:15:>sp|Q9CW42|MARC1_MOUSE
xiphophorus_groups/OG0002005.fa:22:>sp|Q922Q1|MARC2_MOUSE
xiphophorus_groups/OG0002089.fa:1:>sp|P49821|NDUV1_HUMAN
xiphophorus_groups/OG0002089.fa:10:>sp|Q91YT0|NDUV1_MOUSE
xiphophorus_groups/OG0002155.fa:1:>sp|Q86XE3|MICU3_HUMAN
xiphophorus_groups/OG0002155.fa:11:>sp|Q9CTY5|MICU3_MOUSE
xiphophorus_groups/OG0002196.fa:1:>sp|P28330|ACADL_HUMAN
xiphophorus_groups/OG0002196.fa:10:>sp|P51174|ACADL_MOUSE
xiphophorus_groups/OG0002246.fa:1:>sp|P36551|HEM6_HUMAN
xiphophorus_groups/OG0002246.fa:10:>sp|P36552|HEM6_MOUSE
xiphophorus_groups/OG0002247.fa:1:>sp|P53007|TXTP_HUMAN
xiphophorus_groups/OG0002247.fa:8:>sp|Q8JZU2|TXTP_MOUSE
xiphophorus_groups/OG0002279.fa:1:>sp|Q9NRV9|HEBP1_HUMAN
xiphophorus_groups/OG0002279.fa:6:>sp|Q9R257|HEBP1_MOUSE
xiphophorus_groups/OG0002284.fa:1:>sp|P23434|GCSH_HUMAN
xiphophorus_groups/OG0002284.fa:5:>sp|Q91WK5|GCSH_MOUSE
xiphophorus_groups/OG0002324.fa:6:>sp|A6NJ78|MET15_HUMAN
xiphophorus_groups/OG0002324.fa:14:>sp|Q9DCL4|MET15_MOUSE
xiphophorus_groups/OG0002339.fa:1:>sp|P45880|VDAC2_HUMAN
xiphophorus_groups/OG0002339.fa:7:>sp|Q60930|VDAC2_MOUSE
xiphophorus_groups/OG0002351.fa:1:>sp|O43847|NRDC_HUMAN
xiphophorus_groups/OG0002351.fa:22:>sp|Q8BHG1|NRDC_MOUSE
xiphophorus_groups/OG0002363.fa:1:>sp|Q9H1K1|ISCU_HUMAN
xiphophorus_groups/OG0002363.fa:5:>sp|Q9D7P6|ISCU_MOUSE
xiphophorus_groups/OG0002365.fa:1:>sp|Q9Y512|SAM50_HUMAN
xiphophorus_groups/OG0002365.fa:10:>sp|Q8BGH2|SAM50_MOUSE
xiphophorus_groups/OG0002372.fa:1:>sp|Q02252|MMSA_HUMAN
xiphophorus_groups/OG0002372.fa:11:>sp|Q9EQ20|MMSA_MOUSE
xiphophorus_groups/OG0002409.fa:6:>sp|Q9H4I8|SEHL2_HUMAN
xiphophorus_groups/OG0002438.fa:1:>sp|Q9UMX3|BOK_HUMAN
xiphophorus_groups/OG0002438.fa:6:>sp|O35425|BOK_MOUSE
xiphophorus_groups/OG0002442.fa:1:>sp|O43615|TIM44_HUMAN
xiphophorus_groups/OG0002442.fa:10:>sp|O35857|TIM44_MOUSE
xiphophorus_groups/OG0002445.fa:1:>sp|P21912|SDHB_HUMAN
xiphophorus_groups/OG0002445.fa:7:>sp|Q9CQA3|SDHB_MOUSE
xiphophorus_groups/OG0002504.fa:1:>sp|Q9NTX5|ECHD1_HUMAN
xiphophorus_groups/OG0002504.fa:8:>sp|Q9D9V3|ECHD1_MOUSE
xiphophorus_groups/OG0002508.fa:1:>sp|O00217|NDUS8_HUMAN
xiphophorus_groups/OG0002508.fa:6:>sp|Q8K3J1|NDUS8_MOUSE
xiphophorus_groups/OG0002544.fa:1:>sp|Q96CQ1|S2536_HUMAN
xiphophorus_groups/OG0002544.fa:8:>sp|Q922G0|S2536_MOUSE
xiphophorus_groups/OG0002550.fa:1:>sp|Q9NQG6|MID51_HUMAN
xiphophorus_groups/OG0002550.fa:10:>sp|Q8BGV8|MID51_MOUSE
xiphophorus_groups/OG0002569.fa:5:>sp|P86397|HTD2_HUMAN
xiphophorus_groups/OG0002570.fa:1:>sp|P14406|CX7A2_HUMAN
xiphophorus_groups/OG0002570.fa:7:>sp|P48771|CX7A2_MOUSE
xiphophorus_groups/OG0002572.fa:1:>sp|Q2QL34|MP17L_HUMAN
xiphophorus_groups/OG0002572.fa:6:>sp|Q99MS3|MP17L_MOUSE
xiphophorus_groups/OG0002575.fa:1:>sp|Q96TA2|YMEL1_HUMAN
xiphophorus_groups/OG0002575.fa:15:>sp|O88967|YMEL1_MOUSE
xiphophorus_groups/OG0002590.fa:1:>sp|Q9Y305|ACOT9_HUMAN
xiphophorus_groups/OG0002590.fa:10:>sp|Q32MW3|ACO10_MOUSE
xiphophorus_groups/OG0002590.fa:19:>sp|Q9R0X4|ACOT9_MOUSE
xiphophorus_groups/OG0002600.fa:1:>sp|Q9HBH5|RDH14_HUMAN
xiphophorus_groups/OG0002600.fa:8:>sp|Q9ERI6|RDH14_MOUSE
xiphophorus_groups/OG0002606.fa:1:>sp|O60260|PRKN_HUMAN
xiphophorus_groups/OG0002606.fa:10:>sp|Q9WVS6|PRKN_MOUSE
xiphophorus_groups/OG0002620.fa:1:>sp|P14854|CX6B1_HUMAN
xiphophorus_groups/OG0002620.fa:4:>sp|P56391|CX6B1_MOUSE
xiphophorus_groups/OG0002634.fa:1:>sp|P40926|MDHM_HUMAN
xiphophorus_groups/OG0002634.fa:8:>sp|P08249|MDHM_MOUSE
xiphophorus_groups/OG0002652.fa:1:>sp|Q14790|CASP8_HUMAN
xiphophorus_groups/OG0002652.fa:20:>sp|O89110|CASP8_MOUSE
xiphophorus_groups/OG0002715.fa:1:>sp|Q08AE8|SPIR1_HUMAN
xiphophorus_groups/OG0002715.fa:15:>sp|Q52KF3|SPIR1_MOUSE
xiphophorus_groups/OG0002754.fa:1:>sp|Q3SY17|S2552_HUMAN
xiphophorus_groups/OG0002754.fa:7:>sp|Q9H1U9|S2551_HUMAN
xiphophorus_groups/OG0002754.fa:13:>sp|Q5HZI9|S2551_MOUSE
xiphophorus_groups/OG0002760.fa:1:>sp|Q9BUE6|ISCA1_HUMAN
xiphophorus_groups/OG0002760.fa:5:>sp|Q9D924|ISCA1_MOUSE
xiphophorus_groups/OG0002767.fa:1:>sp|P20674|COX5A_HUMAN
xiphophorus_groups/OG0002767.fa:5:>sp|P12787|COX5A_MOUSE
xiphophorus_groups/OG0002814.fa:1:>sp|Q5THJ4|VP13D_HUMAN
xiphophorus_groups/OG0002814.fa:76:>tr|B1ART2|B1ART2_MOUSE
xiphophorus_groups/OG0002817.fa:1:>sp|Q96GA7|SDSL_HUMAN
xiphophorus_groups/OG0002817.fa:8:>sp|Q8R238|SDSL_MOUSE
xiphophorus_groups/OG0002852.fa:1:>sp|O00154|BACH_HUMAN
xiphophorus_groups/OG0002852.fa:15:>sp|Q91V12|BACH_MOUSE
xiphophorus_groups/OG0002871.fa:1:>sp|Q05932|FOLC_HUMAN
xiphophorus_groups/OG0002871.fa:12:>sp|P48760|FOLC_MOUSE
xiphophorus_groups/OG0002894.fa:1:>sp|Q96H78|S2544_HUMAN
xiphophorus_groups/OG0002894.fa:8:>sp|Q8BGF9|S2544_MOUSE
xiphophorus_groups/OG0002895.fa:1:>sp|Q96N28|PLD3A_HUMAN
xiphophorus_groups/OG0002895.fa:5:>sp|Q8VE85|PLD3A_MOUSE
xiphophorus_groups/OG0002926.fa:1:>sp|Q8IXM3|RM41_HUMAN
xiphophorus_groups/OG0002926.fa:5:>sp|Q9CQN7|RM41_MOUSE
xiphophorus_groups/OG0002943.fa:1:>sp|P61604|CH10_HUMAN
xiphophorus_groups/OG0002943.fa:4:>sp|Q64433|CH10_MOUSE
xiphophorus_groups/OG0002994.fa:1:>sp|Q13423|NNTM_HUMAN
xiphophorus_groups/OG0002994.fa:21:>sp|Q61941|NNTM_MOUSE
xiphophorus_groups/OG0003018.fa:1:>sp|Q9Y3D6|FIS1_HUMAN
xiphophorus_groups/OG0003018.fa:5:>sp|Q9CQ92|FIS1_MOUSE
xiphophorus_groups/OG0003040.fa:1:>sp|Q8NI60|COQ8A_HUMAN
xiphophorus_groups/OG0003040.fa:13:>sp|Q60936|COQ8A_MOUSE
xiphophorus_groups/OG0003042.fa:1:>sp|Q9H4B0|OSGL1_HUMAN
xiphophorus_groups/OG0003042.fa:9:>sp|Q6PEB4|OSGL1_MOUSE
