xipho_nmt/OG0007595.fa:1:>sp|Q86TS9|RM52_HUMAN
xipho_nmt/OG0005432.fa:1:>sp|Q9Y2Z4|SYYM_HUMAN
xipho_nmt/OG0010405.fa:1:>sp|P82664|RT10_HUMAN
xipho_nmt/OG0001475.fa:7:>sp|P47985|UCRI_HUMAN
xipho_nmt/OG0009761.fa:1:>sp|Q99766|ATP5S_HUMAN
xipho_nmt/OG0006069.fa:1:>sp|O95299|NDUAA_HUMAN
xipho_nmt/OG0001930.fa:4:>sp|P24311|COX7B_HUMAN
xipho_nmt/OG0011778.fa:1:>sp|P49406|RM19_HUMAN
xipho_nmt/OG0007167.fa:1:>sp|Q9NQ50|RM40_HUMAN
xipho_nmt/OG0006312.fa:1:>sp|Q9UGM6|SYWM_HUMAN
xipho_nmt/OG0003709.fa:1:>sp|Q96GC5|RM48_HUMAN
xipho_nmt/OG0007440.fa:1:>sp|P82914|RT15_HUMAN
xipho_nmt/OG0010565.fa:1:>sp|O75489|NDUS3_HUMAN
xipho_nmt/OG0013247.fa:1:>sp|P31930|QCR1_HUMAN
xipho_nmt/OG0008372.fa:1:>sp|P82921|RT21_HUMAN
xipho_nmt/OG0002767.fa:1:>sp|P20674|COX5A_HUMAN
xipho_nmt/OG0010891.fa:1:>sp|Q96GW9|SYMM_HUMAN
xipho_nmt/OG0007032.fa:1:>sp|Q92665|RT31_HUMAN
xipho_nmt/OG0009354.fa:1:>sp|O75306|NDUS2_HUMAN
